size_sqft,bedrooms,age_years,distance_km,has_garage,crime_index,school_rating,price_usd
1395,3,36.1,18.44,1,62.4,6.9,217872
2153,8,25.0,12.65,0,67.8,8.4,316269
1814,4,2.2,0.1,1,34.2,9.2,314164
2368,6,12.7,6.19,1,42.3,5.7,382921
1692,5,33.3,17.95,1,56.8,6.5,270605
988,2,2.0,19.74,0,50.3,9.0,122516
916,2,18.8,18.18,0,57.0,7.3,140319
2425,5,19.9,8.58,0,45.7,7.8,335706
2462,6,14.2,2.16,1,77.9,8.5,413541
1510,4,60.4,9.76,1,40.0,8.3,274578
1408,4,13.8,10.09,1,90.4,7.6,164295
2331,6,26.7,19.39,0,68.6,9.1,317897
1046,4,8.5,11.37,1,62.5,6.9,196010
1153,4,27.9,10.1,0,34.4,7.8,190337
1922,5,33.1,10.44,0,63.6,6.7,299538
1403,3,11.2,12.4,0,59.1,8.5,219836
1597,4,19.2,13.76,0,18.2,5.9,224407
1518,4,6.6,5.65,0,28.9,4.5,212856
1769,5,2.8,3.65,0,55.4,8.0,264198
2304,5,35.6,18.22,1,48.0,5.5,298963
1645,3,11.7,0.15,0,42.3,5.3,238218
1922,4,0.0,19.83,1,66.2,8.9,305741
575,1,46.5,0.1,1,36.7,8.4,111932
1576,4,8.0,6.49,0,43.2,6.5,234081
1178,2,16.3,15.83,1,40.3,2.4,134744
991,2,44.6,10.0,1,57.7,7.8,135003
1161,3,17.9,2.1,0,24.2,8.0,190461
1433,3,17.5,12.56,1,42.5,7.8,210251
2058,5,1.6,10.4,1,24.2,7.7,352932
937,3,0.0,8.7,0,45.3,6.7,202140
1615,4,17.5,6.26,1,60.8,6.4,228301
1358,3,25.4,9.79,1,61.1,5.3,231458
1436,4,24.6,6.51,1,39.1,6.0,251110
2101,5,12.8,24.61,1,58.0,7.5,309894
1869,4,20.3,8.56,0,47.2,7.5,317521
2269,7,0.0,7.76,1,70.4,8.2,371191
1523,5,26.9,6.75,0,48.1,4.9,241352
1252,4,22.4,20.66,1,5.4,4.5,194366
1488,4,49.6,0.17,1,63.4,6.4,233259
1721,3,20.1,12.16,0,43.1,5.5,250450
1688,5,5.9,8.56,1,45.9,7.3,286610
1058,3,19.2,1.46,1,55.0,5.0,195025
1645,5,15.1,5.09,1,28.6,8.8,274132
1714,5,26.5,11.9,0,51.1,5.8,234575
2859,7,20.4,4.81,0,58.0,9.4,418069
2538,6,1.1,11.56,1,55.5,7.8,385334
1173,3,0.0,20.37,1,41.0,5.4,210458
1456,3,23.9,11.02,0,64.9,10.0,213325
868,3,40.7,1.28,1,35.0,7.4,180122
1305,2,21.2,4.92,0,40.6,7.2,207223
1758,4,32.2,8.29,1,48.0,6.9,257069
2203,7,35.2,7.89,0,54.4,7.7,367748
1235,3,24.0,10.91,1,45.1,7.8,221803
1273,3,7.8,11.87,1,68.4,5.7,201141
526,1,22.9,20.38,1,54.4,6.7,79314
1519,4,38.1,9.98,1,51.1,7.2,236394
1069,2,27.9,3.09,0,53.9,7.9,133208
1335,3,31.2,16.92,1,61.0,7.9,178790
1162,4,13.1,17.58,0,53.6,7.2,194259
1553,3,17.0,11.39,0,22.9,6.2,189801
721,2,18.2,8.52,0,66.3,6.1,97351
866,3,19.2,13.74,0,51.8,5.2,121728
2665,8,37.5,8.73,1,60.3,7.9,480124
956,3,0.0,0.1,0,43.9,6.1,197046
1052,5,20.5,13.38,0,22.6,6.7,210322
2518,7,18.8,15.35,0,15.8,7.4,357391
3053,8,0.0,18.65,0,35.8,7.0,459248
1014,2,30.1,5.62,0,57.8,7.0,110639
1416,3,9.1,11.36,0,69.5,5.6,197444
1771,6,14.6,11.49,1,54.5,7.4,305221
2464,8,47.7,10.51,1,34.2,6.5,337685
1107,4,35.1,10.69,1,38.2,6.9,196198
1477,4,28.6,10.22,0,70.4,8.7,238283
1989,4,25.7,11.27,0,30.3,7.8,275967
1817,5,17.5,14.44,1,81.5,6.1,251445
1412,3,50.0,17.32,0,78.1,6.8,157828
1533,3,32.0,5.46,0,82.0,9.4,222476
913,2,8.8,8.97,1,55.7,6.5,152436
1481,4,0.0,7.46,0,44.9,7.1,257577
1467,4,28.5,6.61,1,55.3,8.0,228558
1716,5,19.2,0.3,0,63.6,7.3,317919
1322,4,0.0,10.15,1,40.2,6.4,271490
1836,4,26.4,12.88,1,33.5,5.9,277754
2106,5,16.0,9.07,1,45.7,7.0,318740
1678,3,28.0,9.95,1,38.4,8.0,244550
1776,3,26.6,12.51,0,68.6,9.0,261467
1627,5,10.9,18.47,1,40.8,4.8,261116
1600,3,29.5,7.48,0,51.4,9.6,239996
1239,4,12.5,2.97,1,64.7,6.6,210792
1758,5,13.5,9.46,1,69.2,8.4,297615
1551,3,12.0,21.3,1,53.1,5.9,223570
2647,7,37.0,3.03,1,55.8,4.6,376322
2387,5,15.8,13.9,0,34.7,5.0,337105
1793,3,40.6,16.95,1,65.3,6.5,225695
1218,3,46.8,0.1,1,69.0,7.8,180364
1044,2,8.9,12.46,0,21.9,7.0,167932
2196,5,0.0,13.62,1,76.4,6.6,318506
1731,6,35.7,8.4,1,39.5,8.7,270933
1840,3,14.9,6.12,0,58.9,7.0,296078
728,2,7.0,6.46,0,51.2,7.4,126497
2064,4,11.2,8.03,0,49.1,10.0,367167
1827,5,13.8,8.19,1,46.9,7.0,311943
1045,3,39.5,7.06,1,35.1,6.0,149358
1364,4,22.4,7.93,0,57.9,7.7,246399
1732,4,39.3,17.14,1,45.7,8.1,236002
1626,3,27.4,2.71,1,30.4,7.5,311149
1454,4,15.4,0.1,0,34.5,7.2,252039
1548,5,14.1,17.24,0,30.6,9.2,265001
1474,4,28.4,8.85,0,42.1,9.0,236082
1676,3,32.3,7.67,0,57.3,6.8,243578
2336,6,35.0,9.33,1,39.3,6.0,341899
400,3,16.1,11.26,0,64.6,7.6,67618
1482,4,22.6,6.86,1,48.2,6.0,246909
1688,5,28.8,13.04,1,45.7,8.3,295908
1748,4,14.2,4.23,0,50.3,7.6,245240
1414,4,3.0,8.19,1,70.9,10.0,293942
722,2,7.9,0.1,0,29.4,9.2,172895
1764,5,16.4,17.03,1,74.8,5.4,249317
2464,6,29.9,8.94,0,64.4,6.2,339125
833,1,38.9,14.02,1,49.7,4.1,152921
2032,6,0.0,12.86,0,67.7,3.8,321426
1436,5,11.0,13.3,1,45.2,7.2,273039
1569,5,14.6,9.95,1,54.3,5.2,245535
1074,4,31.9,12.33,1,41.9,9.5,208001
1433,4,12.1,4.23,0,64.5,8.7,249857
2250,5,13.6,2.97,0,39.4,6.6,338130
1891,6,0.0,9.39,0,49.2,6.5,306292
2466,7,27.3,5.92,1,60.2,9.2,420560
2189,5,17.6,18.55,1,65.7,9.6,370973
1820,4,10.2,12.25,1,37.7,5.6,272037
2472,7,16.1,5.7,0,61.3,5.4,336375
1819,4,36.9,8.37,1,35.3,6.5,314418
2014,5,4.9,10.8,0,17.7,7.6,358615
1452,4,7.4,9.59,0,38.8,6.2,240794
1633,5,38.8,11.63,1,62.5,7.7,297980
1251,4,21.1,10.41,0,49.8,9.9,221709
2095,4,30.0,1.66,0,42.0,4.9,276196
1011,3,26.0,0.1,0,50.8,6.3,138224
1991,6,19.5,7.76,1,50.3,4.9,277110
1505,3,14.8,13.36,1,59.3,5.7,224625
2186,5,32.5,7.83,1,25.8,6.6,319021
1975,4,37.4,17.42,1,48.5,5.9,257844
2510,6,36.3,9.72,1,51.9,7.8,370757
1965,6,2.2,18.14,1,29.5,7.2,338979
814,4,39.6,16.91,0,29.3,7.4,118271
1567,3,14.6,16.31,0,44.5,6.5,204652
1014,3,8.7,2.78,1,50.1,6.7,179646
1341,4,17.5,10.1,1,50.2,6.5,244630
2356,6,32.5,17.34,0,41.7,6.6,328242
1919,5,28.1,11.63,0,41.0,7.6,292869
1251,3,16.2,13.33,1,44.1,4.1,226958
1093,4,32.6,1.67,0,54.5,7.4,258475
1616,5,22.1,21.51,1,68.7,5.7,251199
992,2,11.4,5.25,1,16.7,6.5,194939
1264,4,9.4,0.1,1,59.3,4.7,191760
1756,5,26.2,7.89,0,48.3,6.5,275045
2178,6,18.8,0.1,1,57.9,7.4,356968
1904,6,0.0,3.49,0,67.8,7.7,338470
454,1,32.7,25.35,0,38.7,5.2,33443
1752,5,12.8,7.72,0,64.2,7.6,281256
1636,4,43.9,1.43,1,31.2,8.7,284284
1807,3,0.0,10.15,0,51.9,6.3,313984
2408,6,17.3,4.61,0,46.4,7.0,404508
568,1,9.5,15.19,1,50.7,3.9,120724
1304,2,5.4,4.66,1,35.2,5.7,233736
1895,6,12.7,11.62,1,56.6,7.4,297334
809,2,46.6,3.12,1,73.8,8.4,158063
2338,6,22.2,25.59,1,35.4,6.1,312990
1784,4,8.1,13.02,1,52.8,10.0,287970
2023,5,0.0,9.13,1,62.8,7.5,370350
1315,4,0.0,8.24,1,45.5,5.1,239170
2007,4,12.0,6.68,0,70.4,8.9,311884
2134,5,10.5,5.43,0,43.6,5.1,327444
1716,5,16.6,5.27,0,48.3,7.5,273551
1717,3,0.0,20.07,1,35.1,5.6,199074
1735,4,18.6,6.68,1,51.9,5.0,233849
1168,3,35.4,0.1,0,50.0,8.4,210438
1526,4,44.3,3.0,0,59.5,6.6,202167
1524,3,0.0,15.57,1,40.5,9.6,252661
1792,5,8.0,8.49,1,39.8,5.5,258212
2100,7,7.2,9.2,1,56.9,4.7,315833
1071,2,22.2,17.02,0,71.0,6.3,142752
1537,4,1.7,5.34,1,59.4,10.0,300681
2341,7,45.2,13.79,1,77.7,8.3,374876
1228,3,20.7,5.99,0,58.3,7.8,179126
1189,4,18.2,13.46,1,57.8,7.9,211102
1701,4,43.9,7.65,0,60.2,6.3,202014
2022,6,19.8,8.55,1,72.3,10.0,334927
1606,5,26.0,14.92,1,68.6,7.7,275258
2264,6,8.7,14.49,1,33.7,7.5,354073
2028,5,0.0,9.01,0,62.0,8.5,352773
2021,5,10.8,7.17,1,54.0,5.1,332825
1877,5,52.8,19.59,1,47.1,5.7,261192
2764,8,29.5,13.54,0,23.4,6.6,399893
1497,4,24.1,7.65,1,26.9,8.5,241437
598,1,5.4,6.08,1,44.5,5.1,79363
2402,6,33.7,16.15,0,28.0,6.9,308340
1371,4,0.0,10.69,1,44.8,6.7,261838
1654,5,0.0,9.02,0,60.7,4.6,293836
2255,5,11.6,10.69,1,41.3,6.2,315468
799,1,49.3,12.03,1,51.3,7.8,118755
974,3,48.5,9.66,1,34.0,4.8,107054
799,3,13.2,17.22,1,54.5,9.1,128420
1203,4,9.9,17.56,0,57.6,7.7,197567
1820,4,0.0,13.19,1,28.7,7.5,281488
1862,4,21.2,18.25,0,38.7,7.0,214789
1738,4,22.4,10.05,0,31.0,5.4,295623
894,2,31.8,14.14,1,57.6,6.0,132286
445,2,33.7,16.03,0,52.5,7.5,44769
1627,3,17.0,16.11,0,49.3,6.0,228329
1364,2,28.3,15.5,0,48.1,7.3,184224
1830,4,9.5,13.79,1,54.8,5.7,285024
1951,5,28.1,21.74,1,55.1,7.7,275530
1669,5,12.4,6.76,1,42.6,7.8,293006
1980,5,26.9,9.07,1,40.5,4.6,318160
1715,5,25.7,8.71,1,49.1,7.1,242004
1865,3,21.0,7.79,1,47.2,4.7,252323
1248,4,31.9,0.1,0,80.9,4.2,208260
1510,4,0.0,18.25,0,44.2,6.1,213762
1698,5,4.0,3.84,0,54.3,10.0,292714
2010,4,15.9,11.02,1,57.0,8.2,296792
1403,4,0.0,1.47,1,71.0,9.1,251211
1861,5,13.9,13.72,0,37.8,7.9,274019
1467,5,14.4,5.29,1,70.1,7.3,222545
1541,3,39.6,3.18,0,47.8,8.3,244022
2015,5,22.1,11.17,1,87.5,6.0,322996
603,1,35.4,5.8,1,55.4,7.7,105487
952,3,24.5,6.56,0,31.6,8.8,194916
859,3,12.0,11.03,0,47.0,8.0,141904
433,2,22.0,14.8,0,70.0,8.9,69139
1261,3,30.9,5.09,1,51.2,7.3,217497
1975,6,37.9,4.05,1,49.1,9.5,336700
1458,5,18.0,10.14,1,60.8,6.7,239349
1699,3,0.0,13.24,1,44.8,10.0,297964
2145,6,0.0,18.78,0,46.8,7.9,294948
2264,6,15.1,3.57,1,35.8,6.4,354596
1565,4,0.0,8.09,1,75.9,5.2,274804
2277,5,46.9,17.05,1,31.7,5.8,338138
1646,5,29.0,21.84,1,52.5,5.6,257594
1181,2,10.5,4.04,1,57.2,6.9,225828
1303,3,3.4,5.57,1,49.8,5.1,208145
860,2,35.4,12.29,1,31.2,8.9,107312
1156,3,3.3,6.53,1,35.0,7.2,205291
1421,3,4.7,5.44,1,57.8,7.1,255375
2002,4,8.5,11.47,0,38.3,5.3,308494
2460,6,21.7,19.3,1,18.9,5.8,345566
909,3,29.3,2.14,0,55.8,3.7,115253
1796,6,37.9,18.99,1,36.9,9.4,262389
1080,1,35.7,6.55,1,59.5,4.9,137217
1837,5,20.0,12.07,0,47.0,5.0,218475
1534,3,35.3,19.55,0,46.3,9.1,200802
685,3,9.9,11.95,1,50.8,7.6,143204
2064,4,0.0,8.22,0,32.9,7.2,314249
1297,3,9.9,14.31,1,37.6,7.5,206048
1333,3,7.9,8.96,1,46.1,8.4,213483
1065,3,10.5,13.13,1,32.8,7.1,172672
1273,3,5.6,8.77,1,60.7,4.7,189623
1814,5,13.1,15.17,0,45.4,8.1,296131
1505,4,29.3,1.63,0,28.3,7.6,245106
1764,3,45.7,3.92,0,41.6,8.8,337039
1781,5,0.0,1.55,1,51.5,5.1,290415
2260,6,0.7,9.66,1,43.3,5.9,368152
1429,5,8.1,0.82,1,56.0,7.6,256312
862,2,31.5,5.85,1,58.6,5.6,131559
2134,4,16.9,3.35,0,86.0,3.5,332053
1434,4,9.1,18.88,0,67.3,7.3,238277
2157,6,30.8,4.06,0,25.5,8.3,295095
1792,5,34.3,2.28,0,44.6,6.8,250525
1534,4,19.7,11.49,1,46.0,7.8,245570
1774,4,7.8,20.12,1,58.6,7.6,255463
2576,8,24.1,9.3,1,36.0,7.0,366844
2638,6,16.5,9.77,1,42.0,7.2,402575
1635,4,16.4,17.74,0,31.3,9.0,203614
1680,5,12.3,15.27,0,41.0,5.6,254063
2138,4,33.9,12.55,1,41.5,8.2,332163
1177,4,23.7,6.51,0,45.3,5.2,208153
1767,5,35.5,12.74,1,32.2,5.8,262550
1587,5,40.0,1.84,0,64.7,8.8,292462
1757,5,26.9,6.26,0,57.1,5.2,268117
1183,3,12.4,18.59,0,28.3,6.6,199353
805,1,35.6,17.81,0,50.4,10.0,98061
564,1,27.0,12.62,0,26.5,8.5,135921
1041,2,59.1,0.1,0,70.1,5.9,140747
1371,4,24.7,2.75,1,74.2,6.2,264896
1453,4,30.5,5.92,1,49.2,6.7,269090
2569,8,24.4,8.97,1,37.2,9.0,420004
2153,6,18.5,2.5,0,40.0,5.5,341128
1119,4,16.1,8.52,0,43.2,5.4,177717
1774,4,24.4,20.6,1,48.4,8.1,241500
1396,3,27.8,12.41,0,70.6,4.5,199437
1458,4,37.3,11.31,1,64.3,5.6,228480
1693,4,24.6,3.89,1,64.6,6.9,227480
1910,5,13.1,0.17,0,52.6,6.9,303232
1430,3,15.1,2.63,0,32.7,5.0,242566
2132,5,0.2,0.1,1,38.4,7.5,394194
1029,3,44.9,10.45,1,50.9,7.8,183961
1603,5,11.9,12.3,1,32.0,6.0,224499
2899,6,34.5,4.21,0,54.6,9.5,399024
1712,5,24.1,10.89,0,62.1,7.5,251046
2317,5,24.6,18.81,1,58.2,5.5,357836
1646,4,18.2,21.75,1,57.6,9.4,238392
1890,6,8.2,14.62,1,22.0,6.2,333142
1572,5,5.5,8.95,1,70.0,7.3,250647
1515,4,45.9,14.43,0,26.5,6.3,223943
1210,5,21.7,18.11,0,47.7,7.9,171678
1815,4,36.9,0.1,1,59.3,6.3,274228
1174,2,40.8,18.89,0,55.4,6.4,116582
1933,4,13.8,6.73,1,30.8,6.8,341245
2143,5,26.4,6.79,1,33.5,6.2,310279
1783,3,20.7,7.87,0,54.3,8.6,227280
1457,3,2.6,11.92,0,57.7,5.1,172735
1827,4,17.2,3.33,1,33.4,6.9,293816
1446,4,28.8,8.29,0,55.9,7.1,208797
2068,5,12.5,13.15,0,27.3,6.8,325726
684,1,15.1,11.31,0,59.4,8.5,108583
1432,4,17.4,12.28,0,36.7,4.7,240518
605,2,51.7,8.06,1,51.2,7.9,96846
852,2,0.0,14.16,1,48.7,5.1,170640
2282,5,27.5,16.34,0,67.4,6.2,286697
2048,3,16.2,15.98,0,53.6,5.0,232606
1240,2,10.4,12.57,1,41.0,6.5,175472
849,2,15.8,15.63,0,55.4,6.1,96267
400,1,30.0,15.23,1,82.1,9.5,46998
1328,3,30.9,26.06,0,61.1,7.4,180712
2810,7,22.8,17.31,0,49.1,7.7,395456
1817,4,36.4,9.47,1,37.5,5.3,268796
1320,3,39.0,4.53,0,40.8,8.1,217800
1833,5,32.2,8.43,0,60.2,9.5,241012
820,2,11.8,8.01,1,36.7,8.3,175674
1451,4,27.4,13.07,0,50.0,5.0,175130
1650,3,27.5,5.8,0,71.6,6.3,219564
1557,3,7.8,17.15,1,52.3,7.2,190504
1995,5,0.0,1.66,1,33.8,6.1,349228
1772,4,0.0,0.2,1,82.7,10.0,267611
1934,5,21.0,9.19,1,76.4,6.3,263780
1256,4,24.5,4.94,1,57.5,6.9,187580
2049,6,2.3,2.45,1,69.1,6.1,334281
2414,5,35.7,6.18,1,46.0,7.3,354612
1115,3,22.3,5.43,1,60.9,9.1,221766
1156,3,40.2,10.06,0,43.6,7.2,168020
2268,5,25.6,6.28,0,29.7,6.7,358964
1504,4,4.0,6.77,1,88.9,5.4,250622
2302,6,26.9,9.97,1,28.9,8.8,339797
1379,2,30.1,16.09,1,54.5,6.8,177638
2328,6,11.8,18.82,0,54.3,6.7,372501
1666,4,0.0,10.89,0,57.7,3.5,272155
1729,4,21.5,11.35,1,48.7,6.8,286478
2382,6,5.0,8.9,1,48.8,6.4,395656
1419,3,36.8,12.89,0,52.1,4.3,195392
1129,3,13.9,12.34,1,57.2,8.5,204045
1376,3,45.9,17.96,0,50.0,6.2,176866
1826,5,0.0,0.1,0,49.0,9.8,360883
817,2,22.0,8.59,0,30.2,9.1,135907
1919,4,41.4,12.04,0,80.2,5.9,258898
1331,3,6.6,9.84,1,58.0,9.1,187879
